year,plot,species,comp
1993,12b,Poa pratensis,0.04
1993,12b,Crepis capillaris,0.04
1993,12b,Pilosella officinarum,0.04
1994,12b,Leontodon hispidus,16.36
1994,12b,Plantago lanceolata,12.21
1994,12b,Agrostis capillaris,11.63
1994,12b,Lotus corniculatus,8.72
1994,12b,Festuca rubra,6.94
1994,12b,Trifolium pratense,6.86
1994,12b,Anthoxanthum odoratum,5.85
1994,12b,Festuca pratensis,3.64
1994,12b,Holcus lanatus,3.57
1994,12b,Ranunculus acris,3.26
1994,12b,Carex flacca,3.1
1994,12b,Dactylis glomerata,2.98
1994,12b,Helictotrichon pubescens,2.71
1994,12b,Arrhenatherum elatius,2.6
1994,12b,Lathyrus pratensis,1.59
1994,12b,Luzula campestris,1.51
1994,12b,Achillea millefolium,1.43
1994,12b,Briza media,1.28
1994,12b,Taraxacum officinale,0.89
1994,12b,Pimpinella saxifraga,0.58
1994,12b,Centaurea nigra,0.39
1994,12b,Poa pratensis,0.31
1994,12b,Conopodium majus,0.27
1994,12b,Rumex acetosa,0.27
1994,12b,Sanguisorba minor,0.23
1994,12b,Lolium perenne,0.19
1994,12b,Leontodon autumnalis,0.19
1994,12b,Alopecurus pratensis,0.12
1994,12b,Trisetum flavescens,0.12
1994,12b,Stachys officinalis,0.08
1994,12b,Stellaria graminea,0.08
1994,12b,Trifolium repens,0.04
1995,12b,Leontodon hispidus,29.16
1995,12b,Festuca rubra,11.45
1995,12b,Briza media,7.19
1995,12b,Agrostis capillaris,6.17
1995,12b,Plantago lanceolata,5.7
1995,12b,Festuca pratensis,5.29
1995,12b,Anthoxanthum odoratum,4.5
1995,12b,Trifolium pratense,4.13
1995,12b,Lolium perenne,3.94
1995,12b,Lotus corniculatus,3.76
1995,12b,Dactylis glomerata,2.83
1995,12b,Poa pratensis,2.32
1995,12b,Carex flacca,1.99
1995,12b,Holcus lanatus,1.62
1995,12b,Pimpinella saxifraga,1.62
1995,12b,Achillea millefolium,1.3
1995,12b,Luzula campestris,1.16
1995,12b,Rumex acetosa,1.02
1995,12b,Arrhenatherum elatius,0.74
1995,12b,Ranunculus acris,0.65
1995,12b,Conopodium majus,0.56
1995,12b,Helictotrichon pubescens,0.46
1995,12b,Centaurea nigra,0.46
1995,12b,Trisetum flavescens,0.42
1995,12b,Sanguisorba minor,0.37
1995,12b,Lathyrus pratensis,0.28
1995,12b,Ajuga reptans,0.28
1995,12b,Taraxacum officinale,0.23
1995,12b,Trifolium repens,0.19
1995,12b,Cerastium fontanum,0.19
1995,12b,Stellaria graminea,0.05
1996,12b,Festuca rubra,24.04
1996,12b,Agrostis capillaris,17.06
1996,12b,Leontodon hispidus,11.91
1996,12b,Dactylis glomerata,8.77
1996,12b,Briza media,8.25
1996,12b,Luzula campestris,2.92
1996,12b,Trifolium pratense,2.75
1996,12b,Centaurea nigra,2.62
1996,12b,Ranunculus auricomus,1.88
1996,12b,Helictotrichon pubescens,1.79
1996,12b,Carex flacca,1.75
1996,12b,Conopodium majus,1.75
1996,12b,Plantago lanceolata,1.53
1996,12b,Lotus corniculatus,1.48
1996,12b,Pimpinella saxifraga,1.4
1996,12b,Alopecurus pratensis,1.31
1996,12b,Anthoxanthum odoratum,1.18
1996,12b,Achillea millefolium,1.09
1996,12b,Holcus lanatus,1.05
1996,12b,Arrhenatherum elatius,0.74
1996,12b,Festuca pratensis,0.74
1996,12b,Lathyrus pratensis,0.7
1996,12b,Taraxacum officinale,0.57
1996,12b,Stellaria graminea,0.44
1996,12b,Cerastium fontanum,0.39
1996,12b,Poa pratensis,0.35
1996,12b,Ranunculus acris,0.35
1996,12b,Poa trivialis,0.26
1996,12b,Sanguisorba minor,0.26
1996,12b,Trifolium repens,0.17
1996,12b,Stachys officinalis,0.17
1996,12b,Carex caryophyllea,0.13
1996,12b,Ajuga reptans,0.09
1996,12b,Hypochoeris radicata,0.09
1996,12b,Lolium perenne,0.04
1997,12b,Agrostis capillaris,35.36
1997,12b,Festuca rubra,30.96
1997,12b,Leontodon hispidus,15.6
1997,12b,Lotus corniculatus,4.46
1997,12b,Dactylis glomerata,2.91
1997,12b,Centaurea nigra,1.11
1997,12b,Achillea millefolium,1.05
1997,12b,Carex caryophyllea,0.87
1997,12b,Festuca pratensis,0.8
1997,12b,Plantago lanceolata,0.74
1997,12b,Poa pratensis,0.68
1997,12b,Knautia arvensis,0.68
1997,12b,Pimpinella saxifraga,0.56
1997,12b,Briza media,0.5
1997,12b,Holcus lanatus,0.5
1997,12b,Lolium perenne,0.37
1997,12b,Sanguisorba minor,0.37
1997,12b,Cerastium fontanum,0.31
1997,12b,Stachys officinalis,0.31
1997,12b,Anthoxanthum odoratum,0.25
1997,12b,Trifolium pratense,0.25
1997,12b,Luzula campestris,0.25
1997,12b,Ranunculus acris,0.25
1997,12b,Helictotrichon pubescens,0.19
1997,12b,Lathyrus pratensis,0.19
1997,12b,Ranunculus bulbosus,0.19
1997,12b,Trifolium repens,0.12
1997,12b,Taraxacum officinale,0.12
1997,12b,Rumex acetosa,0.06
1998,12b,Agrostis capillaris,40.88
1998,12b,Festuca rubra,17.76
1998,12b,Leontodon hispidus,16.05
1998,12b,Briza media,5.17
1998,12b,Dactylis glomerata,2.84
1998,12b,Lotus corniculatus,2.3
1998,12b,Plantago lanceolata,1.96
1998,12b,Stachys officinalis,1.58
1998,12b,Centaurea nigra,1.49
1998,12b,Pimpinella saxifraga,1.36
1998,12b,Achillea millefolium,1.28
1998,12b,Cerastium fontanum,1.27
1998,12b,Ranunculus bulbosus,1.21
1998,12b,Lathyrus pratensis,0.84
1998,12b,Festuca pratensis,0.76
1998,12b,Trifolium pratense,0.6
1998,12b,Luzula campestris,0.58
1998,12b,Alopecurus pratensis,0.44
1998,12b,Conopodium majus,0.42
1998,12b,Holcus lanatus,0.4
1998,12b,Taraxacum officinale,0.3
1998,12b,Anthoxanthum odoratum,0.27
1998,12b,Knautia arvensis,0.09
1998,12b,Carex caryophyllea,0.04
1998,12b,Primula veris,0.04
1998,12b,Poa pratensis,0.03
1998,12b,Pilosella officinarum,0.02
1998,12b,Rumex acetosa,0.02
1999,12b,Leontodon hispidus,21.95
1999,12b,Lotus corniculatus,15.86
1999,12b,Briza media,11.56
1999,12b,Festuca rubra,9.8
1999,12b,Agrostis capillaris,9.25
1999,12b,Centaurea nigra,6.96
1999,12b,Plantago lanceolata,4.09
1999,12b,Anthoxanthum odoratum,3.22
1999,12b,Luzula campestris,2.09
1999,12b,Helictotrichon pubescens,1.96
1999,12b,Trifolium pratense,1.82
1999,12b,Tragopogon pratensis,1.74
1999,12b,Knautia arvensis,1.53
1999,12b,Carex flacca,1.3
1999,12b,Achillea millefolium,1.18
1999,12b,Stachys officinalis,1.07
1999,12b,Pimpinella saxifraga,1.05
1999,12b,Lathyrus pratensis,0.8
1999,12b,Taraxacum officinale,0.49
1999,12b,Lolium perenne,0.38
1999,12b,Cerastium fontanum,0.35
1999,12b,Holcus lanatus,0.32
1999,12b,Ranunculus bulbosus,0.29
1999,12b,Carex caryophyllea,0.24
1999,12b,Ranunculus acris,0.18
1999,12b,Conopodium majus,0.17
1999,12b,Trifolium repens,0.13
1999,12b,Poa pratensis,0.09
1999,12b,Leontodon autumnalis,0.09
1999,12b,Dactylis glomerata,0.01
1999,12b,Trisetum flavescens,0.01
2000,12b,Leontodon hispidus,17.46
2000,12b,Agrostis capillaris,16.98
2000,12b,Plantago lanceolata,9.64
2000,12b,Briza media,7
2000,12b,Festuca rubra,6.64
2000,12b,Lotus corniculatus,5.94
2000,12b,Anthoxanthum odoratum,5.52
2000,12b,Trifolium pratense,4.81
2000,12b,Centaurea nigra,3.6
2000,12b,Ranunculus acris,2.65
2000,12b,Stachys officinalis,2.33
2000,12b,Luzula campestris,2.28
2000,12b,Achillea millefolium,1.89
2000,12b,Carex caryophyllea,1.61
2000,12b,Lathyrus pratensis,1.58
2000,12b,Holcus lanatus,1.41
2000,12b,Helictotrichon pubescens,1.38
2000,12b,Festuca pratensis,1.35
2000,12b,Poa pratensis,0.9
2000,12b,Tragopogon pratensis,0.89
2000,12b,Ranunculus bulbosus,0.75
2000,12b,Cerastium fontanum,0.71
2000,12b,Taraxacum officinale,0.61
2000,12b,Carex flacca,0.51
2000,12b,Trifolium repens,0.41
2000,12b,Dactylis glomerata,0.34
2000,12b,Pimpinella saxifraga,0.28
2000,12b,Lolium perenne,0.24
2000,12b,Conopodium majus,0.17
2000,12b,Stellaria graminea,0.1
2000,12b,Leontodon autumnalis,0.01
1991,12c,Festuca rubra,50.43
1991,12c,Agrostis capillaris,15.92
1991,12c,Leontodon hispidus,9.48
1991,12c,Centaurea nigra,5.74
1991,12c,Achillea millefolium,3.64
1991,12c,Lotus corniculatus,3.63
1991,12c,Plantago lanceolata,2.54
1991,12c,Carex caryophyllea,1.18
1991,12c,Arrhenatherum elatius,1.09
1991,12c,Holcus lanatus,1.02
1991,12c,Hypochoeris radicata,0.87
1991,12c,Dactylis glomerata,0.82
1991,12c,Pilosella officinarum,0.78
1991,12c,Alopecurus pratensis,0.52
1991,12c,Ranunculus acris,0.42
1991,12c,Anthoxanthum odoratum,0.39
1991,12c,Conopodium majus,0.34
1991,12c,Trifolium repens,0.29
1991,12c,Luzula campestris,0.22
1991,12c,Stachys officinalis,0.16
1991,12c,Pimpinella saxifraga,0.13
1991,12c,Helictotrichon pubescens,0.12
1991,12c,Taraxacum officinale,0.12
1991,12c,Trifolium pratense,0.09
1991,12c,Crepis capillaris,0.04
1991,12c,Lathyrus pratensis,0.01
1991,12c,Sanguisorba minor,0.01
1992,12c,Festuca rubra,53.39
1992,12c,Agrostis capillaris,19.06
1992,12c,Stachys officinalis,7.58
1992,12c,Leontodon hispidus,3.68
1992,12c,Plantago lanceolata,3
1992,12c,Achillea millefolium,2.66
1992,12c,Centaurea nigra,1.92
1992,12c,Dactylis glomerata,1.53
1992,12c,Conopodium majus,1.13
1992,12c,Carex caryophyllea,0.85
1992,12c,Anthoxanthum odoratum,0.74
1992,12c,Arrhenatherum elatius,0.74
1992,12c,Knautia arvensis,0.68
1992,12c,Briza media,0.57
1992,12c,Luzula campestris,0.45
1992,12c,Sanguisorba minor,0.45
1992,12c,Pimpinella saxifraga,0.34
1992,12c,Taraxacum officinale,0.23
1992,12c,Pilosella officinarum,0.17
1992,12c,Holcus lanatus,0.11
1992,12c,Lathyrus pratensis,0.11
1992,12c,Trifolium pratense,0.11
1992,12c,Hypochoeris radicata,0.11
1992,12c,Heracleum sphondylium,0.06
1992,12c,Prunella vulgaris,0.06
1992,12c,Ranunculus acris,0.06
1992,12c,Rumex acetosa,0.06
1992,12c,Stellaria graminea,0.06
1993,12c,Festuca rubra,41.19
1993,12c,Agrostis capillaris,24.14
1993,12c,Leontodon hispidus,9.93
1993,12c,Anthoxanthum odoratum,4.56
1993,12c,Achillea millefolium,3.68
1993,12c,Plantago lanceolata,2.8
1993,12c,Lotus corniculatus,2.16
1993,12c,Dactylis glomerata,1.8
1993,12c,Centaurea nigra,1.8
1993,12c,Trifolium pratense,1.6
1993,12c,Stachys officinalis,0.88
1993,12c,Knautia arvensis,0.68
1993,12c,Conopodium majus,0.6
1993,12c,Helictotrichon pubescens,0.52
1993,12c,Carex caryophyllea,0.52
1993,12c,Luzula campestris,0.52
1993,12c,Holcus lanatus,0.48
1993,12c,Alopecurus pratensis,0.44
1993,12c,Hypochoeris radicata,0.36
1993,12c,Ranunculus acris,0.36
1993,12c,Briza media,0.28
1993,12c,Trifolium repens,0.2
1993,12c,Pimpinella saxifraga,0.16
1993,12c,Pilosella officinarum,0.12
1993,12c,Trisetum flavescens,0.08
1993,12c,Taraxacum officinale,0.08
1993,12c,Prunella vulgaris,0.04
1994,12c,Leontodon hispidus,38.75
1994,12c,Festuca rubra,27.61
1994,12c,Agrostis capillaris,8.82
1994,12c,Anthoxanthum odoratum,5.45
1994,12c,Plantago lanceolata,4.52
1994,12c,Achillea millefolium,2.78
1994,12c,Centaurea nigra,1.97
1994,12c,Conopodium majus,1.86
1994,12c,Trifolium pratense,1.74
1994,12c,Ranunculus acris,1.28
1994,12c,Dactylis glomerata,1.16
1994,12c,Holcus lanatus,0.7
1994,12c,Trifolium repens,0.7
1994,12c,Luzula campestris,0.7
1994,12c,Arrhenatherum elatius,0.58
1994,12c,Taraxacum officinale,0.46
1994,12c,Alopecurus pratensis,0.35
1994,12c,Briza media,0.23
1994,12c,Lotus corniculatus,0.23
1994,12c,Lathyrus pratensis,0.12
1995,12c,Festuca rubra,42.05
1995,12c,Agrostis capillaris,26.84
1995,12c,Leontodon hispidus,7.83
1995,12c,Plantago lanceolata,5.48
1995,12c,Achillea millefolium,3.8
1995,12c,Centaurea nigra,3.42
1995,12c,Anthoxanthum odoratum,2.97
1995,12c,Luzula campestris,1.44
1995,12c,Stachys officinalis,1.14
1995,12c,Holcus lanatus,0.84
1995,12c,Dactylis glomerata,0.76
1995,12c,Carex flacca,0.68
1995,12c,Leontodon autumnalis,0.61
1995,12c,Pimpinella saxifraga,0.38
1995,12c,Lotus corniculatus,0.3
1995,12c,Trifolium repens,0.3
1995,12c,Ranunculus acris,0.3
1995,12c,Sanguisorba minor,0.23
1995,12c,Briza media,0.15
1995,12c,Conopodium majus,0.15
1995,12c,Crepis capillaris,0.15
1995,12c,Trifolium pratense,0.08
1995,12c,Pilosella officinarum,0.08
1996,12c,Festuca rubra,45.38
1996,12c,Agrostis capillaris,24.73
1996,12c,Leontodon hispidus,15.43
1996,12c,Luzula campestris,2.98
1996,12c,Achillea millefolium,2.25
1996,12c,Plantago lanceolata,1.34
1996,12c,Centaurea nigra,0.97
1996,12c,Briza media,0.91
1996,12c,Lotus corniculatus,0.79
1996,12c,Anthoxanthum odoratum,0.73
1996,12c,Ranunculus auricomus,0.67
1996,12c,Holcus lanatus,0.55
1996,12c,Dactylis glomerata,0.43
1996,12c,Sanguisorba minor,0.43
1996,12c,Trifolium pratense,0.36
1996,12c,Rumex acetosa,0.36
1996,12c,Carex caryophyllea,0.24
1996,12c,Conopodium majus,0.24
1996,12c,Pilosella officinarum,0.24
1996,12c,Hypochoeris radicata,0.24
1996,12c,Knautia arvensis,0.24
1996,12c,Ranunculus acris,0.24
1996,12c,Pimpinella saxifraga,0.12
1996,12c,Trifolium repens,0.06
1996,12c,Ajuga reptans,0.06
1997,12c,Agrostis capillaris,38.58
1997,12c,Festuca rubra,34.37
1997,12c,Leontodon hispidus,8.97
1997,12c,Knautia arvensis,6.76
1997,12c,Centaurea nigra,3.04
1997,12c,Lotus corniculatus,2.62
1997,12c,Achillea millefolium,2.07
1997,12c,Dactylis glomerata,0.69
1997,12c,Stachys officinalis,0.62
1997,12c,Luzula campestris,0.48
1997,12c,Plantago lanceolata,0.48
1997,12c,Carex caryophyllea,0.41
1997,12c,Pilosella officinarum,0.21
1997,12c,Alopecurus pratensis,0.14
1997,12c,Sanguisorba minor,0.14
1997,12c,Anthoxanthum odoratum,0.07
1997,12c,Festuca pratensis,0.07
1997,12c,Pimpinella saxifraga,0.07
1997,12c,Ranunculus acris,0.07
1997,12c,Ranunculus bulbosus,0.07
1997,12c,Taraxacum officinale,0.07
1998,12c,Agrostis capillaris,41.69
1998,12c,Festuca rubra,36.08
1998,12c,Leontodon hispidus,7.65
1998,12c,Achillea millefolium,2.7
1998,12c,Centaurea nigra,1.82
1998,12c,Knautia arvensis,1.35
1998,12c,Dactylis glomerata,1.2
1998,12c,Plantago lanceolata,1.06
1998,12c,Pilosella officinarum,1.04
1998,12c,Luzula campestris,1.01
1998,12c,Anthoxanthum odoratum,0.89
1998,12c,Holcus lanatus,0.76
1998,12c,Pimpinella saxifraga,0.75
1998,12c,Lotus corniculatus,0.52
1998,12c,Carex caryophyllea,0.52
1998,12c,Stachys officinalis,0.48
1998,12c,Conopodium majus,0.27
1998,12c,Briza media,0.13
1998,12c,Ranunculus bulbosus,0.07
1998,12c,Alopecurus pratensis,0.02
1999,12c,Agrostis capillaris,35.06
1999,12c,Festuca rubra,31.72
1999,12c,Leontodon hispidus,7.94
1999,12c,Anthoxanthum odoratum,6.88
1999,12c,Briza media,3.18
1999,12c,Achillea millefolium,2.64
1999,12c,Stachys officinalis,2.23
1999,12c,Centaurea nigra,2.02
1999,12c,Luzula campestris,1.98
1999,12c,Plantago lanceolata,1.65
1999,12c,Trifolium pratense,1.38
1999,12c,Pilosella officinarum,0.79
1999,12c,Holcus lanatus,0.56
1999,12c,Dactylis glomerata,0.47
1999,12c,Pimpinella saxifraga,0.47
1999,12c,Knautia arvensis,0.4
1999,12c,Carex caryophyllea,0.39
1999,12c,Leontodon autumnalis,0.12
1999,12c,Ranunculus acris,0.06
1999,12c,Helictotrichon pubescens,0.01
1999,12c,Trifolium repens,0.01
1999,12c,Stellaria graminea,0.01
1999,12c,Taraxacum officinale,0.01
2000,12c,Agrostis capillaris,42.8
2000,12c,Festuca rubra,24.36
2000,12c,Anthoxanthum odoratum,7.2
2000,12c,Leontodon hispidus,6.53
2000,12c,Plantago lanceolata,4.38
2000,12c,Luzula campestris,2.36
2000,12c,Achillea millefolium,2.29
2000,12c,Centaurea nigra,1.61
2000,12c,Briza media,1.37
2000,12c,Knautia arvensis,1.14
2000,12c,Stachys officinalis,0.84
2000,12c,Carex caryophyllea,0.7
2000,12c,Dactylis glomerata,0.69
2000,12c,Hypochoeris radicata,0.65
2000,12c,Holcus lanatus,0.63
2000,12c,Leontodon autumnalis,0.51
2000,12c,Alopecurus pratensis,0.5
2000,12c,Pilosella officinarum,0.44
2000,12c,Pimpinella saxifraga,0.37
2000,12c,Ranunculus acris,0.22
2000,12c,Ajuga reptans,0.14
2000,12c,Helictotrichon pubescens,0.13
2000,12c,Conopodium majus,0.1
2000,12c,Trifolium pratense,0.03
1991,12d,Festuca rubra,38.45
1991,12d,Agrostis capillaris,21.16
1991,12d,Centaurea nigra,10.35
1991,12d,Leontodon hispidus,7.3
1991,12d,Dactylis glomerata,6.2
1991,12d,Plantago lanceolata,4.96
1991,12d,Achillea millefolium,3.2
1991,12d,Carex flacca,1.68
1991,12d,Conopodium majus,0.74
1991,12d,Briza media,0.65
1991,12d,Pilosella officinarum,0.64
1991,12d,Anthoxanthum odoratum,0.62
1991,12d,Pimpinella saxifraga,0.57
1991,12d,Trisetum flavescens,0.56
1991,12d,Holcus lanatus,0.54
1991,12d,Carex caryophyllea,0.51
1991,12d,Crepis capillaris,0.48
1991,12d,Hypochoeris radicata,0.32
1991,12d,Luzula campestris,0.27
1991,12d,Arrhenatherum elatius,0.24
1991,12d,Sanguisorba minor,0.16
1991,12d,Prunella vulgaris,0.12
1991,12d,Ajuga reptans,0.08
1991,12d,Ranunculus acris,0.08
1991,12d,Lotus corniculatus,0.04
1991,12d,Heracleum sphondylium,0.03
1991,12d,Taraxacum officinale,0.03
1991,12d,Trifolium repens,0.02
1992,12d,Festuca rubra,31.95
1992,12d,Agrostis capillaris,28.48
1992,12d,Leontodon hispidus,16.4
1992,12d,Plantago lanceolata,4.85
1992,12d,Centaurea nigra,4.62
1992,12d,Achillea millefolium,4.23
1992,12d,Dactylis glomerata,2.16
1992,12d,Briza media,1.77
1992,12d,Anthoxanthum odoratum,1.15
1992,12d,Conopodium majus,0.62
1992,12d,Arrhenatherum elatius,0.46
1992,12d,Luzula campestris,0.46
1992,12d,Helictotrichon pubescens,0.38
1992,12d,Carex caryophyllea,0.38
1992,12d,Pimpinella saxifraga,0.31
1992,12d,Sanguisorba minor,0.31
1992,12d,Taraxacum officinale,0.31
1992,12d,Holcus lanatus,0.23
1992,12d,Pilosella officinarum,0.23
1992,12d,Knautia arvensis,0.23
1992,12d,Ranunculus acris,0.15
1992,12d,Stachys officinalis,0.15
1992,12d,Lolium perenne,0.08
1992,12d,Trifolium repens,0.08
1993,12d,Festuca rubra,33.98
1993,12d,Agrostis capillaris,28.5
1993,12d,Leontodon hispidus,18.95
1993,12d,Plantago lanceolata,4.08
1993,12d,Anthoxanthum odoratum,3.5
1993,12d,Centaurea nigra,2.64
1993,12d,Dactylis glomerata,1.61
1993,12d,Helictotrichon pubescens,1.15
1993,12d,Luzula campestris,0.86
1993,12d,Achillea millefolium,0.74
1993,12d,Briza media,0.54
1993,12d,Carex caryophyllea,0.49
1993,12d,Ranunculus acris,0.45
1993,12d,Stachys officinalis,0.41
1993,12d,Trifolium pratense,0.37
1993,12d,Knautia arvensis,0.33
1993,12d,Pilosella officinarum,0.25
1993,12d,Pimpinella saxifraga,0.25
1993,12d,Holcus lanatus,0.21
1993,12d,Lotus corniculatus,0.16
1993,12d,Conopodium majus,0.16
1993,12d,Lathyrus pratensis,0.12
1993,12d,Trifolium repens,0.12
1993,12d,Stellaria graminea,0.08
1993,12d,Taraxacum officinale,0.04
1994,12d,Agrostis capillaris,27.24
1994,12d,Festuca rubra,17.9
1994,12d,Leontodon hispidus,14.66
1994,12d,Centaurea nigra,11.57
1994,12d,Plantago lanceolata,9.1
1994,12d,Anthoxanthum odoratum,5.63
1994,12d,Dactylis glomerata,2.47
1994,12d,Ranunculus acris,1.54
1994,12d,Helictotrichon pubescens,1.39
1994,12d,Achillea millefolium,1.39
1994,12d,Holcus lanatus,1.16
1994,12d,Conopodium majus,1.16
1994,12d,Luzula campestris,1.16
1994,12d,Knautia arvensis,1.08
1994,12d,Stachys officinalis,1
1994,12d,Briza media,0.46
1994,12d,Taraxacum officinale,0.31
1994,12d,Lathyrus pratensis,0.23
1994,12d,Trifolium pratense,0.23
1994,12d,Lotus corniculatus,0.15
1994,12d,Pilosella officinarum,0.08
1994,12d,Pimpinella saxifraga,0.08
1995,12d,Festuca rubra,29.09
1995,12d,Agrostis capillaris,20.48
1995,12d,Leontodon hispidus,18.15
1995,12d,Centaurea nigra,12.88
1995,12d,Plantago lanceolata,5.12
1995,12d,Anthoxanthum odoratum,2.79
1995,12d,Knautia arvensis,2.64
1995,12d,Dactylis glomerata,2.02
1995,12d,Leontodon autumnalis,1.09
1995,12d,Achillea millefolium,0.93
1995,12d,Luzula campestris,0.85
1995,12d,Taraxacum officinale,0.7
1995,12d,Pimpinella saxifraga,0.62
1995,12d,Briza media,0.47
1995,12d,Poa pratensis,0.47
1995,12d,Carex flacca,0.31
1995,12d,Conopodium majus,0.31
1995,12d,Lotus corniculatus,0.16
1995,12d,Trifolium pratense,0.16
1995,12d,Sanguisorba minor,0.16
1995,12d,Ranunculus acris,0.16
1995,12d,Stachys officinalis,0.16
1995,12d,Holcus lanatus,0.08
1995,12d,Lathyrus pratensis,0.08
1995,12d,Ajuga reptans,0.08
1995,12d,Stellaria graminea,0.08
1996,12d,Festuca rubra,31.97
1996,12d,Agrostis capillaris,31.21
1996,12d,Leontodon hispidus,17.81
1996,12d,Hypochoeris radicata,3.59
1996,12d,Luzula campestris,3.34
1996,12d,Centaurea nigra,2.83
1996,12d,Knautia arvensis,1.01
1996,12d,Carex caryophyllea,0.88
1996,12d,Ranunculus auricomus,0.88
1996,12d,Dactylis glomerata,0.82
1996,12d,Achillea millefolium,0.82
1996,12d,Galium verum,0.76
1996,12d,Plantago lanceolata,0.63
1996,12d,Stachys officinalis,0.63
1996,12d,Briza media,0.5
1996,12d,Taraxacum officinale,0.44
1996,12d,Pimpinella saxifraga,0.38
1996,12d,Sanguisorba minor,0.38
1996,12d,Anthoxanthum odoratum,0.25
1996,12d,Conopodium majus,0.19
1996,12d,Ranunculus acris,0.19
1996,12d,Rumex acetosa,0.19
1996,12d,Pilosella officinarum,0.13
1996,12d,Holcus lanatus,0.06
1996,12d,Trifolium pratense,0.06
1996,12d,Trifolium repens,0.06
1997,12d,Agrostis capillaris,46.06
1997,12d,Festuca rubra,36.7
1997,12d,Leontodon hispidus,8.43
1997,12d,Centaurea nigra,3.52
1997,12d,Achillea millefolium,1.2
1997,12d,Pimpinella saxifraga,0.83
1997,12d,Dactylis glomerata,0.65
1997,12d,Luzula campestris,0.37
1997,12d,Anthoxanthum odoratum,0.28
1997,12d,Knautia arvensis,0.28
1997,12d,Plantago lanceolata,0.28
1997,12d,Sanguisorba minor,0.28
1997,12d,Holcus lanatus,0.19
1997,12d,Carex caryophyllea,0.19
1997,12d,Pilosella officinarum,0.19
1997,12d,Arrhenatherum elatius,0.09
1997,12d,Lotus corniculatus,0.09
1997,12d,Conopodium majus,0.09
1997,12d,Ranunculus acris,0.09
1997,12d,Ranunculus bulbosus,0.09
1997,12d,Stachys officinalis,0.09
1998,12d,Festuca rubra,34.76
1998,12d,Agrostis capillaris,27.46
1998,12d,Centaurea nigra,14.73
1998,12d,Leontodon hispidus,13.62
1998,12d,Achillea millefolium,1.92
1998,12d,Briza media,1.01
1998,12d,Dactylis glomerata,0.91
1998,12d,Helictotrichon pubescens,0.91
1998,12d,Plantago lanceolata,0.7
1998,12d,Conopodium majus,0.65
1998,12d,Pimpinella saxifraga,0.64
1998,12d,Knautia arvensis,0.63
1998,12d,Lotus corniculatus,0.44
1998,12d,Luzula campestris,0.38
1998,12d,Taraxacum officinale,0.33
1998,12d,Anthoxanthum odoratum,0.3
1998,12d,Ranunculus bulbosus,0.24
1998,12d,Carex caryophyllea,0.14
1998,12d,Stachys officinalis,0.09
1998,12d,Trifolium pratense,0.06
1998,12d,Holcus lanatus,0.04
1998,12d,Leontodon autumnalis,0.03
1998,12d,Ranunculus acris,0.03
1998,12d,Pilosella officinarum,0.02
1999,12d,Festuca rubra,29.24
1999,12d,Agrostis capillaris,25.2
1999,12d,Leontodon hispidus,18.82
1999,12d,Knautia arvensis,10.05
1999,12d,Anthoxanthum odoratum,4.55
1999,12d,Centaurea nigra,3.52
1999,12d,Achillea millefolium,1.79
1999,12d,Luzula campestris,1.41
1999,12d,Plantago lanceolata,1.22
1999,12d,Dactylis glomerata,0.95
1999,12d,Ranunculus bulbosus,0.61
1999,12d,Carex caryophyllea,0.56
1999,12d,Briza media,0.53
1999,12d,Holcus lanatus,0.48
1999,12d,Pimpinella saxifraga,0.45
1999,12d,Carex flacca,0.16
1999,12d,Helictotrichon pubescens,0.13
1999,12d,Conopodium majus,0.13
1999,12d,Stellaria graminea,0.11
1999,12d,Taraxacum officinale,0.05
1999,12d,Pilosella officinarum,0.04
1999,12d,Ranunculus acris,0.01
2000,12d,Agrostis capillaris,31.88
2000,12d,Festuca rubra,22.03
2000,12d,Leontodon hispidus,15.99
2000,12d,Centaurea nigra,7.82
2000,12d,Anthoxanthum odoratum,5.97
2000,12d,Plantago lanceolata,4.88
2000,12d,Luzula campestris,2.63
2000,12d,Achillea millefolium,2.47
2000,12d,Holcus lanatus,1.14
2000,12d,Carex caryophyllea,0.71
2000,12d,Briza media,0.64
2000,12d,Dactylis glomerata,0.56
2000,12d,Ranunculus acris,0.55
2000,12d,Ranunculus bulbosus,0.54
2000,12d,Helictotrichon pubescens,0.49
2000,12d,Trifolium pratense,0.38
2000,12d,Pimpinella saxifraga,0.33
2000,12d,Leontodon autumnalis,0.3
2000,12d,Stachys officinalis,0.29
2000,12d,Pilosella officinarum,0.27
2000,12d,Conopodium majus,0.09
2000,12d,Taraxacum officinale,0.05
1991,14/2a,Arrhenatherum elatius,62.96
1991,14/2a,Alopecurus pratensis,15.74
1991,14/2a,Festuca rubra,5.15
1991,14/2a,Poa pratensis,3.48
1991,14/2a,Anthriscus sylvestris,3.29
1991,14/2a,Taraxacum officinale,2.68
1991,14/2a,Lathyrus pratensis,2.18
1991,14/2a,Heracleum sphondylium,0.98
1991,14/2a,Helictotrichon pubescens,0.76
1991,14/2a,Dactylis glomerata,0.68
1991,14/2a,Plantago lanceolata,0.6
1991,14/2a,Ranunculus acris,0.53
1991,14/2a,Achillea millefolium,0.45
1991,14/2a,Trisetum flavescens,0.23
1991,14/2a,Poa trivialis,0.14
1991,14/2a,Conopodium majus,0.05
